,equivalence_class,Occurrence,Word count,total_docs
689,plastic bag,1,2,1
690,plate,2,1,1
691,plug,1,1,1
692,poaching,1,1,1
693,point,10,4,4
694,point increases,1,2,1
695,points,1,1,1
696,pollo baked lamb,1,3,1
697,pork,2,1,1
698,pork ribs,1,2,1
699,portions,1,1,1
700,position,1,1,1
701,pot,9,5,5
702,potatoes,5,4,4
703,poultry,5,2,2
704,poultry cedar,1,2,1
705,powder,1,1,1
706,pre-cooking,1,1,1
707,pre-cut,1,1,1
708,pre-heat,1,1,1
709,preference,1,1,1
710,preheat,1,1,1
711,preheated,1,1,1
712,preparations,1,1,1
713,prepare,1,1,1
714,preservation qualities,1,2,1
715,pressure,9,2,2
716,pressure cooker,4,4,2
717,pressure cooking,1,2,1
718,pressure increases,1,2,1
719,price points,1,2,1
720,principle,2,2,2
721,procedure,1,1,1
722,process,13,8,8
723,process smoking,1,2,1
724,product,10,4,4
725,products,1,1,1
726,propane,1,1,1
727,propane fires,1,2,1
728,proper technique,1,2,1
729,protein,1,1,1
730,proteins refold,1,2,1
731,pudding mixtures,1,2,1
732,pungency,1,1,1
733,purpose,4,6,4
734,purposes,2,2,2
735,pushpin,1,1,1
736,quality,2,2,2
737,quality thermometer,1,2,1
738,quantity,6,4,4
739,question,1,1,1
740,rack,2,1,1
741,racks,1,1,1
742,radiation,1,1,1
743,range,6,2,2
744,ranges,2,2,2
745,rapidity,1,1,1
746,rate,2,2,2
747,rays spread,1,2,1
748,reason,3,2,2
749,reason syrups,1,2,1
750,reboiling,1,1,1
751,recipe,14,14,13
752,reduction,1,1,1
753,refridgerate,1,1,1
754,refrigerate,1,1,1
755,refrigerating,1,1,1
756,refrigeration,2,2,2
757,refrigerator,1,1,1
758,release,1,1,1
759,release mechanism,1,2,1
760,release steam,1,2,1
761,releases,1,1,1
762,relevent cooking chemistry,1,3,1
763,requirement,1,1,1
764,residue,1,1,1
765,rest,2,2,2
766,restaurant,1,1,1
767,result,9,8,8
768,results,8,3,3
769,return,2,2,2
