,equivalence_class,Occurrence,Word count,tf,Document,IDF,tf-idf
355,method,1,1,0.02564102564102564,Clay Pot ,0.6931471805599453,0.017773004629742187
356,method,1,1,0.018518518518518517,Deglazing ,0.6931471805599453,0.012836058899258245
357,method,1,1,0.045454545454545456,Frying ,0.6931471805599453,0.03150669002545206
358,method,1,1,0.0064516129032258064,Grilling ,0.6931471805599453,0.004471917293935131
359,method,1,1,0.022222222222222223,Poaching ,0.6931471805599453,0.015403270679109895
360,method,1,1,0.02040816326530612,Pressure Cooking ,0.6931471805599453,0.014145860827753985
361,method,4,2,0.10526315789473684,Simmering ,0.6931471805599453,0.07296286111157319
362,method,2,1,0.008620689655172414,Smoking ,0.6931471805599453,0.005975406728965045
363,method,2,1,0.029850746268656716,Sous Vide ,0.6931471805599453,0.02069096061372971
364,method,2,1,0.023809523809523808,Stewing ,0.6931471805599453,0.016503504299046314
365,scoop,1,1,0.05263157894736842,Basting ,2.0794415416798357,0.10944429166735976
366,scoop,1,1,0.02631578947368421,Blanching ,2.0794415416798357,0.05472214583367988
367,scoop,1,1,0.009259259259259259,Boiling ,2.0794415416798357,0.019254088348887366
368,spoon,1,1,0.05263157894736842,Basting ,1.791759469228055,0.0943031299593713
369,spoon,1,1,0.02631578947368421,Blanching ,1.791759469228055,0.04715156497968565
370,spoon,1,1,0.009259259259259259,Boiling ,1.791759469228055,0.016590365455815322
371,spoon,2,1,0.044444444444444446,Poaching ,1.791759469228055,0.07963375418791356
372,tool,1,1,0.05263157894736842,Basting ,1.791759469228055,0.0943031299593713
373,tool,1,1,0.02631578947368421,Blanching ,1.791759469228055,0.04715156497968565
374,tool,1,1,0.009259259259259259,Boiling ,1.791759469228055,0.016590365455815322
375,tool,1,1,0.0033333333333333335,Deep Frying ,1.791759469228055,0.005972531564093517
376,almonds,1,1,0.02631578947368421,Blanching ,2.4849066497880004,0.06539228025757896
377,almonds,1,1,0.009259259259259259,Boiling ,2.4849066497880004,0.023008394905444447
378,blanch vegetables,1,2,0.02631578947368421,Blanching ,2.4849066497880004,0.06539228025757896
379,blanch vegetables,1,2,0.009259259259259259,Boiling ,2.4849066497880004,0.023008394905444447
380,blanched,2,1,0.05263157894736842,Blanching ,2.0794415416798357,0.10944429166735976
381,blanched,2,1,0.018518518518518517,Boiling ,2.0794415416798357,0.03850817669777473
382,blanched,1,1,0.011904761904761904,Stewing ,2.0794415416798357,0.024755256448569473
383,blanching,4,1,0.10526315789473684,Blanching ,2.4849066497880004,0.2615691210303158
384,blanching,2,1,0.018518518518518517,Boiling ,2.4849066497880004,0.04601678981088889
385,broccoli,1,1,0.02631578947368421,Blanching ,3.1780538303479458,0.08363299553547225
386,canning,1,1,0.02631578947368421,Blanching ,2.4849066497880004,0.06539228025757896
387,canning,1,1,0.009259259259259259,Boiling ,2.4849066497880004,0.023008394905444447
388,causes foods,1,2,0.02631578947368421,Blanching ,2.4849066497880004,0.06539228025757896
389,causes foods,1,2,0.009259259259259259,Boiling ,2.4849066497880004,0.023008394905444447
390,certain vegetables,1,2,0.02631578947368421,Blanching ,2.4849066497880004,0.06539228025757896
391,certain vegetables,1,2,0.009259259259259259,Boiling ,2.4849066497880004,0.023008394905444447
392,cooking technique,1,2,0.02631578947368421,Blanching ,1.791759469228055,0.04715156497968565
393,cooking technique,1,2,0.02564102564102564,Clay Pot ,1.791759469228055,0.04594255049302705
394,cooking technique,1,2,0.018518518518518517,Deglazing ,1.791759469228055,0.033180730911630645
395,cooking technique,1,2,0.0064516129032258064,Grilling ,1.791759469228055,0.011559738511148741
396,enzyme action,1,2,0.02631578947368421,Blanching ,2.4849066497880004,0.06539228025757896
397,enzyme action,1,2,0.009259259259259259,Boiling ,2.4849066497880004,0.023008394905444447
398,food briefly,1,2,0.02631578947368421,Blanching ,2.4849066497880004,0.06539228025757896
399,food briefly,1,2,0.009259259259259259,Boiling ,2.4849066497880004,0.023008394905444447
400,fruits,1,1,0.02631578947368421,Blanching ,2.0794415416798357,0.05472214583367988
401,fruits,1,1,0.009259259259259259,Boiling ,2.0794415416798357,0.019254088348887366
402,fruits,1,1,0.022222222222222223,Poaching ,2.0794415416798357,0.046209812037329684
403,ice water,1,2,0.02631578947368421,Blanching ,3.1780538303479458,0.08363299553547225
404,parboiling,1,1,0.02631578947368421,Blanching ,2.0794415416798357,0.05472214583367988
405,parboiling,2,1,0.018518518518518517,Boiling ,2.0794415416798357,0.03850817669777473
406,parboiling,1,1,0.0033333333333333335,Deep Frying ,2.0794415416798357,0.006931471805599453
407,salt,1,1,0.02631578947368421,Blanching ,1.5686159179138452,0.04127936626089066
408,salt,1,1,0.009259259259259259,Boiling ,1.5686159179138452,0.014524221462165234
409,salt,1,1,0.02564102564102564,Clay Pot ,1.5686159179138452,0.040220920972149875
410,salt,1,1,0.01639344262295082,Cockaigne ,1.5686159179138452,0.025715015047767957
411,salt,5,1,0.021551724137931036,Smoking ,1.5686159179138452,0.033806377541246664
412,skins,1,1,0.02631578947368421,Blanching ,2.4849066497880004,0.06539228025757896
413,skins,1,1,0.009259259259259259,Boiling ,2.4849066497880004,0.023008394905444447
414,something,1,1,0.02631578947368421,Blanching ,2.4849066497880004,0.06539228025757896
415,something,1,1,0.02702702702702703,Tempering ,2.4849066497880004,0.06715963918345948
416,stir-fried,1,1,0.02631578947368421,Blanching ,2.4849066497880004,0.06539228025757896
417,stir-fried,1,1,0.009259259259259259,Boiling ,2.4849066497880004,0.023008394905444447
418,tomatoes,1,1,0.02631578947368421,Blanching ,2.0794415416798357,0.05472214583367988
419,tomatoes,1,1,0.009259259259259259,Boiling ,2.0794415416798357,0.019254088348887366
420,tomatoes,1,1,0.0064516129032258064,Grilling ,2.0794415416798357,0.013415751881805393
421,value,1,1,0.02631578947368421,Blanching ,2.4849066497880004,0.06539228025757896
